2026-02-02 14:12:40.513 [main] INFO  com.zaxxer.hikari.HikariDataSource - TodoAppPool - Starting...
2026-02-02 14:12:41.375 [main] INFO  com.zaxxer.hikari.pool.HikariPool - TodoAppPool - Added connection org.postgresql.jdbc.PgConnection@6c302a1d
2026-02-02 14:12:41.381 [main] INFO  com.zaxxer.hikari.HikariDataSource - TodoAppPool - Start completed.
2026-02-02 14:12:41.799 [main] INFO  Application - Application started in 2.508 seconds.
2026-02-02 14:12:41.799 [main] INFO  Application - Application started: io.ktor.server.application.Application@10b1a751
2026-02-02 14:12:42.062 [main] INFO  Application - Responding at http://127.0.0.1:8080
2026-02-02 14:13:23.533 [eventLoopGroupProxy-4-1] INFO  Application - Status: 401 Unauthorized, HTTP method: POST, URI: /api/auth/login, User-Agent: okhttp/4.12.0
2026-02-02 14:13:23.536 [eventLoopGroupProxy-4-1] INFO  Application - Status: 401 Unauthorized, HTTP method: POST, URI: /api/auth/login, User-Agent: okhttp/4.12.0
2026-02-02 14:18:37.485 [eventLoopGroupProxy-4-2] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /, User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.22621.6133
2026-02-02 14:18:53.945 [eventLoopGroupProxy-4-2] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /health, User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.22621.6133
2026-02-02 14:20:35.688 [eventLoopGroupProxy-4-3] INFO  Application - Status: 400 Bad Request, HTTP method: POST, URI: /api/auth/register, User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.22621.6133
2026-02-02 14:20:35.689 [eventLoopGroupProxy-4-3] INFO  Application - Status: 400 Bad Request, HTTP method: POST, URI: /api/auth/register, User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.22621.6133
2026-02-02 14:21:17.579 [eventLoopGroupProxy-4-4] INFO  Application - Status: 400 Bad Request, HTTP method: POST, URI: /api/auth/register, User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.22621.6133
2026-02-02 14:21:17.580 [eventLoopGroupProxy-4-4] INFO  Application - Status: 400 Bad Request, HTTP method: POST, URI: /api/auth/register, User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.22621.6133
2026-02-02 14:22:59.164 [eventLoopGroupProxy-4-5] INFO  Application - Status: 200 OK, HTTP method: POST, URI: /api/auth/login, User-Agent: okhttp/4.12.0
2026-02-02 14:22:59.765 [eventLoopGroupProxy-4-6] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks?page=1&pageSize=20, User-Agent: okhttp/4.12.0
2026-02-02 14:23:17.482 [eventLoopGroupProxy-4-7] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks/shared?page=1&pageSize=20, User-Agent: okhttp/4.12.0
2026-02-02 14:23:20.481 [eventLoopGroupProxy-4-8] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks?page=1&pageSize=20, User-Agent: okhttp/4.12.0
2026-02-02 14:23:23.857 [eventLoopGroupProxy-4-9] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks?page=1&pageSize=20, User-Agent: okhttp/4.12.0
2026-02-02 14:23:25.595 [eventLoopGroupProxy-4-10] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks/f5257e83-c672-4e2e-bb53-2e19d1c4518c, User-Agent: okhttp/4.12.0
2026-02-02 14:23:28.887 [eventLoopGroupProxy-4-11] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks?page=1&pageSize=20, User-Agent: okhttp/4.12.0
2026-02-02 14:23:33.510 [eventLoopGroupProxy-4-12] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks?page=1&pageSize=20, User-Agent: okhttp/4.12.0
2026-02-02 14:23:59.772 [eventLoopGroupProxy-4-1] INFO  Application - Status: 200 OK, HTTP method: GET, URI: /api/tasks?page=1&pageSize=20, User-Agent: okhttp/4.12.0
